2026-07-02 01:03:45,498 | INFO | MARKET Order Request | Symbol=BTCUSDT, Side=BUY, Qty=0.001
2026-07-02 01:03:46,419 | INFO | MARKET Order Response | {'orderId': 18308775081, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ873e2e3057b65b7ee54ea1', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782934426079}
2026-07-02 01:04:55,623 | INFO | LIMIT Order Request | Symbol=BTCUSDT, Side=BUY, Qty=0.001, Price=10000.0
2026-07-02 01:07:41,381 | INFO | MARKET Order Request | Symbol=BTCUSDT, Side=BUY, Qty=0.001
2026-07-02 01:07:42,384 | INFO | MARKET Order Response | {'orderId': 18309472035, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ9df1242d79efbdbe7c3544', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782934662082}
2026-07-02 01:07:58,739 | INFO | LIMIT Order Request | Symbol=BTCUSDT, Side=BUY, Qty=0.001, Price=60000.0
2026-07-02 01:07:59,624 | INFO | LIMIT Order Response | {'orderId': 18309527115, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ6bcd650d1d6d15a2372363', 'price': '60000.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782934679286}
2026-07-02 01:13:33,135 | INFO | MARKET Order Request | Symbol=BTCUSDT, Side=BUY, Qty=0.001
2026-07-02 01:13:33,980 | INFO | MARKET Order Response | {'orderId': 18310534908, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ360f0db5a77beb89ac50da', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782935013673}
2026-07-02 01:14:11,894 | INFO | MARKET Order Request | Symbol=BTCUSDT, Side=SELL, Qty=0.001
2026-07-02 01:14:12,540 | INFO | MARKET Order Response | {'orderId': 18310649465, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJbd64d69c49b2300dde4506', 'price': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1782935052148}
